solver,problem,nodecount,edges,anchors,totaliterations,population,deIteration,distFraction,optimizer,final f: ,testcase
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,0.0,0.5,LBFGS,361903366465.0121,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,1.0,0.5,LBFGS,361903366465.0121,2.0
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,0.0,0.5,LBFGS,361903366465.0131,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,1.0,0.5,LBFGS,361903366465.01324,2.0
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,4.0,0.5,LBFGS,361903366465.0156,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,1.0,0.0,0.5,LBFGS,361903366465.0173,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,4.0,0.5,LBFGS,361903366465.0474,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,0.0,0.5,LBFGS,361903367864.2948,4.5
OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,45000.0,0.5,LBFGS,361903367864.2948,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,0.0,0.5,LBFGS,361903370462.86346,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,0.0,0.1,LBFGS,412724564665.192,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,1.0,0.1,GD,412724564665.192,2.0
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,1.0,0.1,LBFGS,412724564665.192,2.0
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,4.0,0.1,LBFGS,412724564665.192,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,0.0,0.1,GD,412724564665.192,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,0.0,0.1,LBFGS,412724564665.192,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,1.0,0.1,GD,412724564665.192,2.0
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,1.0,0.1,LBFGS,412724564665.192,2.0
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,4.0,0.1,LBFGS,412724564665.192,4.5
OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,0.0,0.1,LBFGS,412724564665.1921,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,1.0,0.5,LBFGS,2808344225113.8223,2.0
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,4.0,0.5,LBFGS,2808344227560.589,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,1.0,0.5,GD,2808347282952.163,2.0
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,19.0,0.5,LBFGS,2808499347586.5107,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,19.0,0.5,LBFGS,2808541354401.8594,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,5.0,4.0,0.5,LBFGS,2808556529503.401,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,4.0,0.5,GD,2808746811029.68,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,0.0,0.5,LBFGS,2809963113215.0933,4.5
OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,45000.0,0.5,LBFGS,2810000265690.907,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,5000.0,20.0,0.0,0.5,LBFGS,2810000364815.714,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,0.0,0.1,LBFGS,2980467920791.381,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,1.0,0.1,LBFGS,2980467920791.381,2.0
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,0.0,0.1,LBFGS,2980467920791.3813,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,1.0,0.1,LBFGS,2980467920791.382,2.0
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,4.0,0.1,LBFGS,2980467920791.382,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,4.0,0.1,LBFGS,2980467920791.382,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,1.0,0.0,0.1,LBFGS,2980467920791.3823,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,0.0,0.1,GD,2980467920791.456,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,0.0,0.1,GD,2980467920791.6055,4.5
OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,1.0,0.0,0.1,GD,2980467920792.73,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3455.0,1000.0,50000.0,20.0,4.0,0.5,LBFGS,31842503363616.29,4.5
