nodecount,distFraction,average f out of 10,deIteration,population,optimizer,solver,totaliterations
10,0.5,361903366465.012,0,20,LBFGS,H-DE,50000
10,0.5,361903366465.012,1,20,LBFGS,H-DE,50000
10,0.5,361903366465.013,0,5,LBFGS,H-DE,50000
10,0.5,361903366465.013,1,5,LBFGS,H-DE,50000
10,0.5,361903366465.016,4,20,LBFGS,H-DE,50000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
10,0.1,412724564665.192,0,5,LBFGS,H-DE,50000
10,0.1,412724564665.192,1,5,GD,H-DE,50000
10,0.1,412724564665.192,1,5,LBFGS,H-DE,50000
10,0.1,412724564665.192,4,5,LBFGS,H-DE,50000
10,0.1,412724564665.192,0,20,GD,H-DE,50000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
100,0.5,2808344225113.82,1,20,LBFGS,H-DE,50000
100,0.5,2808344227560.59,4,20,LBFGS,H-DE,50000
100,0.5,2808347282952.16,1,20,GD,H-DE,50000
100,0.5,2808499347586.51,19,20,LBFGS,H-DE,50000
100,0.5,2808541354401.86,19,5,LBFGS,H-DE,50000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
100,0.1,2980467920791.38,0,20,LBFGS,H-DE,50000
100,0.1,2980467920791.38,1,20,LBFGS,H-DE,50000
100,0.1,2980467920791.38,0,5,LBFGS,H-DE,50000
100,0.1,2980467920791.38,1,5,LBFGS,H-DE,50000
100,0.1,2980467920791.38,4,5,LBFGS,H-DE,50000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1000,0.5,31842503363616.3,4,20,LBFGS,H-DE,50000
1000,0.5,31846774154570.5,1,20,LBFGS,H-DE,50000
1000,0.5,31852835494005.8,0,20,LBFGS,H-DE,50000
1000,0.5,31856895274121.4,4,5,LBFGS,H-DE,50000
1000,0.5,31859036201806.7,0,20,GD,H-DE,50000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1000,0.1,32101024693947.9,0,20,LBFGS,H-DE,50000
1000,0.1,32101024693948,0,5,LBFGS,H-DE,50000
1000,0.1,32101024693951.3,0,1,LBFGS,H-DE,50000
1000,0.1,32101024693951.7,1,20,LBFGS,H-DE,50000
1000,0.1,32101024693955.9,1,5,LBFGS,H-DE,50000
