,"('solver', '')","('problem', '')","('nodecount', '')","('edges', '')","('anchors', '')","('totaliterations', '')","('population', '')","('deIteration', '')","('distFraction', '')","('optimizer', '')","('final f: ', 'mean')","('final f: ', 'std')"
65,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,0.0,0.5,LBFGS,361903366465.0121,3.229409756018017e-16
67,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,1.0,0.5,LBFGS,361903366465.0121,4.3816665497829295e-16
57,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,0.0,0.5,LBFGS,361903366465.0131,3.852799980947558e-15
59,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,1.0,0.5,LBFGS,361903366465.01324,4.6202213857477586e-15
69,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,4.0,0.5,LBFGS,361903366465.0156,1.0458139584528892e-14
55,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,1.0,0.0,0.5,LBFGS,361903366465.0173,1.6409820117276256e-14
61,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,4.0,0.5,LBFGS,361903366465.0474,1.5748182316504215e-13
47,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,0.0,0.5,LBFGS,361903367864.2948,3.0581754177572736e-09
447,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,45000.0,0.5,LBFGS,361903367864.2948,3.0581754177572736e-09
39,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,0.0,0.5,LBFGS,361903370462.86346,7.838682044878229e-09
445,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,45000.0,0.5,LBFGS,361903370462.86346,7.838682044878229e-09
37,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,1.0,0.0,0.5,LBFGS,361903377392.43225,1.9155051972272514e-08
64,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,0.0,0.5,GD,361903409212.59094,5.022435970657932e-08
56,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,0.0,0.5,GD,361903424301.2717,3.763078414092704e-08
71,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,19.0,0.5,LBFGS,361903425138.64435,7.04258556495772e-08
54,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,1.0,0.0,0.5,GD,361903438032.3793,3.36702154010768e-08
63,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,19.0,0.5,LBFGS,361903473647.4176,1.3636615103592752e-07
49,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,1.0,0.5,LBFGS,361903542930.08826,1.7071141293076e-07
66,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,1.0,0.5,GD,361903554635.6637,4.230608253427083e-07
58,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,1.0,0.5,GD,361903712608.2472,4.052119506434427e-07
41,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,1.0,0.5,LBFGS,361903745357.1229,3.353578899517552e-07
68,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,4.0,0.5,GD,361907166058.3439,4.3559976044309e-06
60,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,4.0,0.5,GD,361910927151.5405,6.944578411428065e-06
46,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,0.0,0.5,GD,361966586757.4141,6.301458818699336e-05
446,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,45000.0,0.5,GD,361966586757.4141,6.301458818699336e-05
38,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,0.0,0.5,GD,361996904524.33405,4.979055899669129e-05
444,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,45000.0,0.5,GD,361996904524.33405,4.979055899669129e-05
70,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,20.0,19.0,0.5,GD,362009345911.32275,8.315872663722761e-05
51,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,4.0,0.5,LBFGS,362026176737.7959,0.00011161435471559099
29,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,20.0,0.0,0.5,LBFGS,362075114946.8515,0.0002683430264285349
48,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,1.0,0.5,GD,362124674753.03705,0.00034561177468074073
43,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,4.0,0.5,LBFGS,362128150983.2342,0.0002589711496102556
62,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,50000.0,5.0,19.0,0.5,GD,362138339706.6247,0.0002770127054671915
36,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,1.0,0.0,0.5,GD,362145748819.25684,0.0005555580809101614
40,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,1.0,0.5,GD,362367476655.627,0.0005119900088797956
21,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,5.0,0.0,0.5,LBFGS,362481416348.3965,0.0013161666155186583
50,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,4.0,0.5,GD,363277721275.6044,0.0012808160380281175
28,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,20.0,0.0,0.5,GD,363879603624.2507,0.0027277726595565117
19,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,1.0,0.0,0.5,LBFGS,364445638212.2011,0.005179345370143026
42,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,4.0,0.5,GD,364662510515.0624,0.0031129751993486457
20,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,5.0,0.0,0.5,GD,366739474981.7831,0.004884667901310835
31,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,20.0,1.0,0.5,LBFGS,369214566573.9479,0.011740722927669681
30,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,20.0,1.0,0.5,GD,370761816419.41565,0.014219366167240401
18,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,1.0,0.0,0.5,GD,371845101172.0352,0.013553441957335953
442,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,4500.0,0.5,GD,375128862228.42523,0.01556530957155232
443,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,4500.0,0.5,LBFGS,378772064022.06805,0.037758484164819944
22,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,5.0,1.0,0.5,GD,380713249298.1535,0.019599252600495397
52,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,5000.0,20.0,19.0,0.5,GD,385227497243.11896,0.023433876924198946
440,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,9.0,10.0,5000.0,5.0,4500.0,0.5,GD,390972377352.1861,0.03446823814315966
23,OPTIMIZER_MIN_DE,3DRandom1,10.0,9.0,10.0,1000.0,5.0,1.0,0.5,LBFGS,409024110783.5587,0.04846755875854402
129,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,0.0,0.1,LBFGS,412724564665.192,0.0
130,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,1.0,0.1,GD,412724564665.192,2.957670149801361e-16
131,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,1.0,0.1,LBFGS,412724564665.192,0.0
133,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,4.0,0.1,LBFGS,412724564665.192,0.0
136,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,0.0,0.1,GD,412724564665.192,8.538058285809683e-17
137,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,0.0,0.1,LBFGS,412724564665.192,8.538058285809683e-17
138,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,1.0,0.1,GD,412724564665.192,1.2807087428714525e-16
139,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,1.0,0.1,LBFGS,412724564665.192,0.0
141,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,4.0,0.1,LBFGS,412724564665.192,8.538058285809683e-17
119,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,0.0,0.1,LBFGS,412724564665.1921,8.538058285809681e-17
127,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,1.0,0.0,0.1,LBFGS,412724564665.1921,8.538058285809681e-17
463,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,45000.0,0.1,LBFGS,412724564665.1921,8.538058285809681e-17
111,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,5.0,0.0,0.1,LBFGS,412724564665.19214,8.53805828580968e-17
128,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,0.0,0.1,GD,412724564665.19214,3.7216533241904507e-16
461,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,45000.0,0.1,LBFGS,412724564665.19214,8.53805828580968e-17
126,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,1.0,0.0,0.1,GD,412724564665.19293,3.7108644790987324e-15
109,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,1.0,0.0,0.1,LBFGS,412724564665.20575,9.826805599099603e-14
143,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,20.0,19.0,0.1,LBFGS,412724564673.12634,9.71314469652104e-12
135,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,19.0,0.1,LBFGS,412724564690.651,4.5123368072153234e-11
